"年度","縣市","就業者從業身分結構-自營作業者","就業者從業身分結構-雇主","就業者從業身分結構-受僱者","就業者從業身分結構-無酬家屬工作者"
2011, 桃園市,8.070000,4.500000,84.330000,3.100000
2011, 臺中市,12.500000,5.430000,74.580000,7.490000
2011, 臺南市,14.340000,4.090000,75.110000,6.460000
2011, 高雄市,12.090000,4.470000,78.540000,4.900000
2011, 宜蘭縣,15.020000,4.460000,73.980000,6.550000
2011, 新竹縣,11.740000,3.240000,81.270000,3.740000
2011, 苗栗縣,13.520000,3.920000,76.600000,5.950000
2011, 彰化縣,16.510000,4.560000,71.350000,7.590000
2011, 南投縣,20.920000,3.460000,65.080000,10.540000
2011, 雲林縣,24.270000,2.010000,62.680000,11.040000
2011, 嘉義縣,25.710000,2.700000,60.190000,11.400000
2011, 屏東縣,18.530000,2.190000,72.000000,7.280000
2011, 臺東縣,19.820000,4.790000,68.000000,7.390000
2011, 花蓮縣,16.030000,4.710000,74.350000,4.920000
2011, 澎湖縣,14.210000,5.540000,76.210000,4.040000
2011, 基隆市,8.540000,3.620000,84.220000,3.620000
2011, 新竹市,7.640000,4.620000,83.910000,3.820000
2011, 嘉義市,9.890000,4.400000,79.190000,6.520000
2011, 金門縣,17.130000,3.220000,73.720000,5.930000
2011, 連江縣,17.330000,2.710000,77.330000,2.640000
2012, 總計,-,-,-,-
2012, 臺灣地區,12.150000,4.380000,78.230000,5.250000
2012, 新北市,8.370000,4.380000,84.100000,3.140000
2012, 臺北市,8.550000,6.030000,82.740000,2.680000
2012, 桃園市,7.640000,4.440000,84.890000,3.040000
2012, 臺中市,11.960000,5.310000,75.400000,7.330000
2012, 臺南市,13.990000,4.020000,76.000000,5.990000
2012, 高雄市,11.960000,4.110000,79.300000,4.630000
2012, 宜蘭縣,14.430000,4.600000,74.390000,6.580000
2012, 新竹縣,11.460000,2.800000,81.960000,3.780000
2012, 苗栗縣,12.840000,3.760000,78.450000,4.960000
2012, 彰化縣,16.020000,4.340000,71.460000,8.180000
2012, 南投縣,20.710000,3.270000,65.850000,10.160000
2012, 雲林縣,23.950000,2.050000,63.490000,10.500000
2012, 嘉義縣,23.530000,2.770000,63.980000,9.720000
2012, 屏東縣,19.510000,2.350000,70.850000,7.290000
2012, 臺東縣,19.480000,4.420000,66.760000,9.340000
2012, 花蓮縣,16.140000,5.490000,72.510000,5.860000
2012, 澎湖縣,15.020000,4.290000,75.570000,5.110000
2012, 基隆市,8.030000,3.680000,84.520000,3.770000
2012, 新竹市,8.310000,5.050000,83.060000,3.580000
2012, 嘉義市,9.940000,4.830000,79.040000,6.180000
2012, 金門縣,16.490000,3.410000,73.960000,6.140000
2012, 連江縣,17.390000,3.130000,76.300000,3.170000
2013, 總計,-,-,-,-
2013, 臺灣地區,12.010000,4.270000,78.550000,5.170000
2013, 新北市,7.990000,4.430000,84.450000,3.130000
2013, 臺北市,7.780000,5.710000,84.120000,2.390000
2013, 桃園市,8.000000,4.370000,84.340000,3.280000
2013, 臺中市,11.780000,5.540000,75.700000,6.980000
2013, 臺南市,14.700000,3.590000,75.330000,6.390000
2013, 高雄市,12.480000,4.180000,78.550000,4.790000
2013, 宜蘭縣,14.770000,4.960000,73.290000,6.980000
2013, 新竹縣,10.590000,3.420000,82.440000,3.550000
2013, 苗栗縣,13.470000,3.290000,78.630000,4.610000
2013, 彰化縣,15.690000,3.500000,73.330000,7.480000
2013, 南投縣,19.900000,2.660000,67.440000,10.000000
2013, 雲林縣,23.150000,2.010000,65.460000,9.380000
2013, 嘉義縣,22.500000,2.680000,64.690000,10.130000
2013, 屏東縣,18.960000,2.300000,71.450000,7.290000
2013, 臺東縣,19.440000,3.110000,67.950000,9.500000
2013, 花蓮縣,15.230000,4.880000,74.000000,5.890000
2013, 澎湖縣,13.610000,3.690000,78.550000,4.150000
2013, 基隆市,8.230000,3.680000,84.190000,3.900000
2013, 新竹市,8.450000,4.860000,83.160000,3.530000
2013, 嘉義市,11.170000,5.020000,76.960000,6.840000
2013, 金門縣,16.230000,3.350000,75.070000,5.350000
2013, 連江縣,19.560000,2.710000,76.240000,1.500000
2014, 總計,-,-,-,-
2014, 臺灣地區,11.830000,4.140000,78.860000,5.170000
2014, 新北市,8.150000,4.230000,84.610000,3.010000
2014, 臺北市,7.350000,5.290000,85.030000,2.330000
2014, 桃園市,8.070000,4.380000,84.360000,3.190000
2014, 臺中市,11.160000,5.280000,76.870000,6.690000
2014, 臺南市,14.990000,3.440000,74.740000,6.830000
2014, 高雄市,11.330000,4.030000,79.900000,4.750000
2014, 宜蘭縣,14.670000,4.770000,74.260000,6.300000
2014, 新竹縣,10.870000,3.570000,81.980000,3.580000
2014, 苗栗縣,12.920000,2.820000,79.170000,5.100000
2014, 彰化縣,15.040000,3.630000,74.010000,7.320000
2014, 南投縣,20.430000,2.740000,67.910000,8.920000
2014, 雲林縣,22.530000,2.200000,64.670000,10.600000
2014, 嘉義縣,21.930000,3.230000,64.460000,10.380000
2014, 屏東縣,19.540000,2.290000,70.170000,8.000000
2014, 臺東縣,21.570000,3.320000,66.350000,8.760000
2014, 花蓮縣,16.790000,4.140000,73.510000,5.560000
2014, 澎湖縣,14.200000,5.020000,76.260000,4.520000
2014, 基隆市,9.150000,3.420000,83.230000,4.200000
2014, 新竹市,9.160000,4.750000,82.200000,3.900000
2014, 嘉義市,11.460000,5.180000,75.730000,7.630000
2014, 金門縣,16.060000,3.210000,74.460000,6.270000
2014, 連江縣,18.170000,3.030000,76.610000,2.190000
