"年度","縣市","社會福利工作人員數","社會福利工作人員占全縣(市)人口比率","志願服務隊員人數","志工志願服務時數","志工人數占15歲以上人口比率","每位志工一年內提供服務時數"
2008, 新竹市,86.000000,2.121513,2623.000000,207165.000000,0.809723,100.663265
2008, 嘉義市,78.000000,2.848868,1905.000000,250650.000000,0.857147,153.867403
2008, 金門縣,79.000000,9.341374,1212.000000,80534.000000,1.668043,76.772164
2008, 連江縣,16.000000,16.401845,-,-,-,-
2009, 總計,15348.000000,6.638474,153819.000000,20157333.000000,0.795269,141.426683
2009, 臺灣地區,13792.000000,5.992340,152682.000000,19979721.000000,0.793057,141.345282
2009, 新北市,1779.000000,4.592564,21193.000000,4233568.000000,0.649765,231.830244
2009, 臺北市,1451.000000,5.564871,11010.000000,1168938.000000,0.497342,94.742908
2009, 桃園市,776.000000,3.921604,8546.000000,1284885.000000,0.533053,150.454918
2009, 臺中市,1458.000000,5.531609,10708.000000,1344278.000000,0.495557,121.825003
2009, 臺南市,929.000000,4.953594,13151.000000,2515643.000000,0.827315,205.249704
2009, 高雄市,1449.000000,5.229372,24993.000000,2907584.000000,1.066469,127.026977
2009, 宜蘭縣,391.000000,8.470079,4717.000000,299050.000000,1.215766,65.117039
2009, 新竹縣,242.000000,4.736906,2734.000000,725779.000000,0.664996,298.183648
2009, 苗栗縣,303.000000,5.393916,2168.000000,145807.000000,0.461766,80.356572
2009, 彰化縣,1071.000000,8.160205,3860.000000,269894.000000,0.354046,73.400598
2009, 南投縣,311.000000,5.858816,4970.000000,165278.000000,1.108766,33.695821
2009, 雲林縣,880.000000,12.174960,4844.000000,375531.000000,0.796041,80.560120
2009, 嘉義縣,419.000000,7.649950,3730.000000,421214.000000,0.798684,114.772207
2009, 屏東縣,767.000000,8.689840,6386.000000,408141.000000,0.854599,64.279235
2009, 臺東縣,556.000000,23.914287,7521.000000,174394.000000,3.850328,30.544531
2009, 花蓮縣,368.000000,10.792928,15747.000000,2787308.000000,5.480191,237.046222
2009, 澎湖縣,186.000000,19.332710,821.000000,110138.000000,0.995731,139.857778
2009, 基隆市,293.000000,7.545304,1190.000000,160502.000000,0.360586,132.209226
2009, 新竹市,86.000000,2.089473,2400.000000,211319.000000,0.725977,84.140553
2009, 嘉義市,79.000000,2.884675,1993.000000,270470.000000,0.889208,138.773730
2009, 金門縣,67.000000,7.142629,1137.000000,177612.000000,1.404553,151.223499
2009, 連江縣,16.000000,16.130658,-,-,-,-
2010, 總計,15115.000000,6.525740,160532.000000,27740413.000000,0.821648,176.493238
2010, 臺灣地區,13552.000000,5.878165,159160.000000,27646040.000000,0.818522,177.307996
2010, 新北市,1995.000000,5.118840,17241.000000,4081323.000000,0.520703,212.380861
2010, 臺北市,1466.000000,5.598044,13968.000000,1106551.000000,0.624967,88.602050
2010, 桃園市,880.000000,4.395473,11097.000000,1747277.000000,0.677175,177.903273
2010, 臺中市,1480.000000,5.588240,10576.000000,1619459.000000,0.482455,152.176189
2010, 臺南市,837.000000,4.466873,12381.000000,3683450.000000,0.773095,288.535955
2010, 高雄市,1490.000000,5.372306,23754.000000,6951496.000000,1.004640,285.207131
2010, 宜蘭縣,323.000000,7.014328,5506.000000,437159.000000,1.411017,85.524601
2010, 新竹縣,221.000000,4.307866,3109.000000,522971.000000,0.747311,179.007702
2010, 苗栗縣,315.000000,5.615294,1849.000000,197264.000000,0.391142,98.214588
2010, 彰化縣,1313.000000,10.043709,9703.000000,1188775.000000,0.886467,175.296763
2010, 南投縣,242.000000,4.596470,5027.000000,191328.000000,1.120890,38.277083
2010, 雲林縣,929.000000,12.944975,5062.000000,1405406.000000,0.831539,283.748435
2010, 嘉義縣,445.000000,8.191471,3820.000000,504188.000000,0.817689,133.559735
2010, 屏東縣,237.000000,2.713195,5169.000000,473379.000000,0.692352,81.934920
2010, 臺東縣,338.000000,14.652777,7806.000000,216930.000000,3.997419,28.306909
2010, 花蓮縣,385.000000,11.363469,16008.000000,2578257.000000,5.561307,162.384317
2010, 澎湖縣,175.000000,18.056501,920.000000,116293.000000,1.098403,133.593337
2010, 基隆市,293.000000,7.627547,1042.000000,180585.000000,0.316001,161.814516
2010, 新竹市,103.000000,2.479872,2477.000000,184278.000000,0.737464,75.570228
2010, 嘉義市,86.000000,3.157238,2645.000000,259671.000000,1.175948,111.975420
2010, 金門縣,76.000000,7.805760,1372.000000,94373.000000,1.623573,75.227581
2010, 連江縣,16.000000,16.090105,-,-,-,-
2011, 總計,15975.000000,6.878390,162457.000000,22914705.000000,0.823688,141.891550
